index_time,sectionID,time stamp,delay,density,flow,speed,travel time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
3,1190,4000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
4,1190,5000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
5,1190,10000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
0,1190,1000,30.08,94.28,156,26.07,41.57,71,3,16,0,4,83,2,1,2,20,30,38,85,1,3,1
1,1190,2000,-1,179.31,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,85,1,3,1
2,1190,3000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,85,1,3,1
3,1190,4000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,85,1,3,1
4,1190,5000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,85,1,3,1
5,1190,10000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,85,1,3,1
0,1190,1000,26.55,96.25,150,27.82,38.05,70,4,16,0,4,83,2,1,2,20,30,38,85,1,3,1
1,1190,2000,-1,181.4,0,-1,-1,70,4,16,0,4,83,2,1,2,20,30,38,85,1,3,1
2,1190,3000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,20,30,38,85,1,3,1
3,1190,4000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,20,30,38,85,1,3,1
4,1190,5000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,20,30,38,85,1,3,1
5,1190,10000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,20,30,38,85,1,3,1
0,1190,1000,26.55,96.25,150,27.82,38.05,70,4,16,0,4,83,2,1,2,20,30,38,85,2,3,0
1,1190,2000,-1,181.4,0,-1,-1,70,4,16,0,4,83,2,1,2,20,30,38,85,2,3,0
2,1190,3000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,20,30,38,85,2,3,0
3,1190,4000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,20,30,38,85,2,3,0
4,1190,5000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,20,30,38,85,2,3,0
5,1190,10000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,20,30,38,85,2,3,0
0,1190,1000,26.55,96.25,150,27.82,38.05,70,4,16,0,4,83,2,1,2,21,29,38,85,2,3,0
1,1190,2000,-1,181.4,0,-1,-1,70,4,16,0,4,83,2,1,2,21,29,38,85,2,3,0
2,1190,3000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,21,29,38,85,2,3,0
3,1190,4000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,21,29,38,85,2,3,0
4,1190,5000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,21,29,38,85,2,3,0
5,1190,10000,-1,197.49,0,-1,-1,70,4,16,0,4,83,2,1,2,21,29,38,85,2,3,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,5,16,0,4,83,2,1,2,21,29,38,85,2,3,0
1,1190,2000,-1,181.4,0,-1,-1,69,5,16,0,4,83,2,1,2,21,29,38,85,2,3,0
2,1190,3000,-1,197.49,0,-1,-1,69,5,16,0,4,83,2,1,2,21,29,38,85,2,3,0
3,1190,4000,-1,197.49,0,-1,-1,69,5,16,0,4,83,2,1,2,21,29,38,85,2,3,0
4,1190,5000,-1,197.49,0,-1,-1,69,5,16,0,4,83,2,1,2,21,29,38,85,2,3,0
5,1190,10000,-1,197.49,0,-1,-1,69,5,16,0,4,83,2,1,2,21,29,38,85,2,3,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,5,15,1,4,83,2,1,2,21,29,38,85,2,3,0
1,1190,2000,-1,181.4,0,-1,-1,69,5,15,1,4,83,2,1,2,21,29,38,85,2,3,0
2,1190,3000,-1,197.49,0,-1,-1,69,5,15,1,4,83,2,1,2,21,29,38,85,2,3,0
3,1190,4000,-1,197.49,0,-1,-1,69,5,15,1,4,83,2,1,2,21,29,38,85,2,3,0
4,1190,5000,-1,197.49,0,-1,-1,69,5,15,1,4,83,2,1,2,21,29,38,85,2,3,0
5,1190,10000,-1,197.49,0,-1,-1,69,5,15,1,4,83,2,1,2,21,29,38,85,2,3,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,5,15,1,3,84,2,1,2,21,29,38,85,2,3,0
1,1190,2000,-1,181.4,0,-1,-1,69,5,15,1,3,84,2,1,2,21,29,38,85,2,3,0
2,1190,3000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,29,38,85,2,3,0
3,1190,4000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,29,38,85,2,3,0
4,1190,5000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,29,38,85,2,3,0
5,1190,10000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,29,38,85,2,3,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,5,15,1,3,84,2,1,2,21,29,38,86,2,2,0
1,1190,2000,-1,181.4,0,-1,-1,69,5,15,1,3,84,2,1,2,21,29,38,86,2,2,0
2,1190,3000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,29,38,86,2,2,0
3,1190,4000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,29,38,86,2,2,0
4,1190,5000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,29,38,86,2,2,0
5,1190,10000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,29,38,86,2,2,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,5,15,1,3,84,2,1,2,21,28,39,86,2,2,0
1,1190,2000,-1,181.4,0,-1,-1,69,5,15,1,3,84,2,1,2,21,28,39,86,2,2,0
2,1190,3000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,28,39,86,2,2,0
3,1190,4000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,28,39,86,2,2,0
4,1190,5000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,28,39,86,2,2,0
5,1190,10000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,28,39,86,2,2,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,5,15,1,3,84,2,1,2,21,28,39,86,2,1,1
1,1190,2000,-1,181.4,0,-1,-1,69,5,15,1,3,84,2,1,2,21,28,39,86,2,1,1
2,1190,3000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,28,39,86,2,1,1
3,1190,4000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,28,39,86,2,1,1
4,1190,5000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,28,39,86,2,1,1
5,1190,10000,-1,197.49,0,-1,-1,69,5,15,1,3,84,2,1,2,21,28,39,86,2,1,1
0,1190,1000,19.53,96.6,138,31.18,31.05,69,5,15,1,2,85,2,1,2,21,28,39,86,2,1,1
1,1190,2000,-1,181.4,0,-1,-1,69,5,15,1,2,85,2,1,2,21,28,39,86,2,1,1
2,1190,3000,-1,197.49,0,-1,-1,69,5,15,1,2,85,2,1,2,21,28,39,86,2,1,1
3,1190,4000,-1,197.49,0,-1,-1,69,5,15,1,2,85,2,1,2,21,28,39,86,2,1,1
4,1190,5000,-1,197.49,0,-1,-1,69,5,15,1,2,85,2,1,2,21,28,39,86,2,1,1
5,1190,10000,-1,197.49,0,-1,-1,69,5,15,1,2,85,2,1,2,21,28,39,86,2,1,1
0,1190,1000,18.76,94.53,144,31.23,30.23,68,5,15,2,2,85,2,1,2,21,28,39,86,2,1,1
1,1190,2000,660.87,176.35,30,0.93,672.51,68,5,15,2,2,85,2,1,2,21,28,39,86,2,1,1
2,1190,3000,1291.37,199.45,18,0.47,1303.29,68,5,15,2,2,85,2,1,2,21,28,39,86,2,1,1
3,1190,4000,1869.53,199.99,24,0.33,1881.56,68,5,15,2,2,85,2,1,2,21,28,39,86,2,1,1
4,1190,5000,2605.6,200.96,24,0.24,2616.41,68,5,15,2,2,85,2,1,2,21,28,39,86,2,1,1
5,1190,10000,2670.36,199.27,6,0.23,2681.3,68,5,15,2,2,85,2,1,2,21,28,39,86,2,1,1
0,1190,1000,55.73,90.81,216,21.78,67.21,67,5,15,3,2,85,2,1,2,21,28,39,86,2,1,1
1,1190,2000,735.02,171.98,66,0.88,746.18,67,5,15,3,2,85,2,1,2,21,28,39,86,2,1,1
